id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hours,Sable & Co,R&B,romantic,0.55,98,0.78,0.70,0.42
12,Concrete Jungle,Axiom MC,hip-hop,energetic,0.85,96,0.62,0.90,0.08
13,Porch Swing Evenings,Dusty Creek,country,nostalgic,0.38,88,0.74,0.52,0.91
14,Requiem for the Lost,Voss Ensemble,classical,melancholic,0.22,56,0.30,0.18,0.97
15,Iron Curtain,Blastwave,metal,intense,0.96,168,0.22,0.55,0.04
16,Shoreline Riddim,Calypso Blue,reggae,peaceful,0.48,75,0.80,0.72,0.68
17,Bass Cathedral,Dropzone,EDM,energetic,0.94,140,0.58,0.95,0.03
18,Hollow River Road,June Sparrow,folk,sad,0.29,67,0.34,0.44,0.93
19,Smokestack Blues,Delta Rag,blues,sad,0.44,84,0.40,0.50,0.82
20,Velvet Sunday,Corin James,soul,romantic,0.50,92,0.76,0.65,0.74
